source_id,citation,title,year,authors,publisher_or_institution,venue_or_series,doi,url,source_tier,document_type,pdf_filename,page_count,text_extractable,chunk_count,metadata_completeness,bibliography_entry,redistribution_status,notes
1-s2.0-S0749597806000719-main,Bonaccio and Dalal (2006),Bonaccio and Dalal (2006),2006,,,,10.1016/j.obhdp.2006.07.001,https://doi.org/10.1016/j.obhdp.2006.07.001,Wider supporting literature,corpus PDF,1-s2.0-S0749597806000719-main.pdf,25,True,69,0.77,Bonaccio and Dalal (2006). https://doi.org/10.1016/j.obhdp.2006.07.001.,included in repository with project clearance,
1416674-EN,"UNESCO (2022), Recommendation on the Ethics of Artificial Intelligence",Recommendation on the Ethics of Artificial Intelligence,2022,,,,,,Wider supporting literature,corpus PDF,1416674-EN.pdf,44,True,46,0.62,"UNESCO (2022), Recommendation on the Ethics of Artificial Intelligence. Recommendation on the Ethics of Artificial Intelligence.",included in repository with project clearance,
1802.07228v2,Brundage et al. (2018),Brundage et al. (2018),2018,,,,,https://arxiv.org/abs/1802.07228,Wider supporting literature,corpus PDF,1802.07228v2.pdf,101,True,111,0.69,Brundage et al. (2018). https://arxiv.org/abs/1802.07228.,included in repository with project clearance,
31720-Article Text-35784-1-2-20241016,"Rocca et al. (2024), ELLIPS","Rocca et al. (2024), ELLIPS",2024,Roberta Rocca; Giada Pistilli; Kritika Maheshwari; Riccardo Fusaroli,,,,,Wider supporting literature,corpus PDF,31720-Article Text-35784-1-2-20241016.pdf,12,True,30,0.69,"Roberta Rocca, Giada Pistilli, Kritika Maheshwari, Riccardo Fusaroli (2024). Rocca et al. (2024), ELLIPS.",included in repository with project clearance,
4. Book_on_Computational_Awareness-9,Book on Computational Awareness,Book on Computational Awareness,,,,,,,Wider supporting literature,corpus PDF,4. Book_on_Computational_Awareness-9.pdf,29,True,41,0.54,Book on Computational Awareness.,included in repository with project clearance,
716110,"U.S. Government Accountability Office (2021), AI Accountability Framework",Artificial Intelligence: An Accountability Framework for Federal Agencies and Other Entities,2021,U.S. Government Accountability Office,,,,,Wider supporting literature,corpus PDF,716110.pdf,112,True,105,0.69,U.S. Government Accountability Office (2021). Artificial Intelligence: An Accountability Framework for Federal Agencies and Other Entities.,included in repository with project clearance,
AI_Engagement_within_Sony_Group,"Sony Group, AI Engagement Principles",AI Engagement Within Sony Group,2021,,,,,,Wider supporting literature,corpus PDF,AI_Engagement_within_Sony_Group.pdf,3,True,3,0.62,"Sony Group, AI Engagement Principles (2021). AI Engagement Within Sony Group.",included in repository with project clearance,
ASEAN-Guide-on-AI-Governance-and-Ethics_beautified_201223_v2,ASEAN Guide on AI Governance and Ethics,ASEAN Guide on AI Governance and Ethics,,,,,,,Wider supporting literature,corpus PDF,ASEAN-Guide-on-AI-Governance-and-Ethics_beautified_201223_v2.pdf,87,True,90,0.54,ASEAN Guide on AI Governance and Ethics.,included in repository with project clearance,
"Adaptable robots, ethics, and trust- a qualitative and philosophical exploration of the individual experience of trustworthy AI","Adaptable Robots, Ethics, and Trust","Adaptable Robots, Ethics, and Trust",2022,Stephanie Sheir,,,10.1007/s00146-024-01938-8,https://doi.org/10.1007/s00146-024-01938-8,Wider supporting literature,corpus PDF,"Adaptable robots, ethics, and trust- a qualitative and philosophical exploration of the individual experience of trustworthy AI.pdf",14,True,36,0.85,"Stephanie Sheir (2022). Adaptable Robots, Ethics, and Trust. https://doi.org/10.1007/s00146-024-01938-8.",included in repository with project clearance,
BMI25020-leitlinien-ki-bundesverwaltung,German Federal Administration AI Guidelines,German Federal Administration AI Guidelines,,,,,,,Wider supporting literature,corpus PDF,BMI25020-leitlinien-ki-bundesverwaltung.pdf,32,True,31,0.54,German Federal Administration AI Guidelines.,included in repository with project clearance,
Benchmarking Retrieval-Augmented Generation for Medicine,Benchmarking Retrieval-Augmented Generation for Medicine,Benchmarking Retrieval-Augmented Generation for Medicine,2023,,,,,,Wider supporting literature,corpus PDF,Benchmarking Retrieval-Augmented Generation for Medicine.pdf,19,True,35,0.62,Benchmarking Retrieval-Augmented Generation for Medicine (2023).,included in repository with project clearance,
Characterizing AI Agents for Alignment and Governance,Characterizing AI Agents for Alignment and Governance,Characterizing AI Agents for Alignment and Governance,2024,,,,,,Wider supporting literature,corpus PDF,Characterizing AI Agents for Alignment and Governance.pdf,29,True,38,0.62,Characterizing AI Agents for Alignment and Governance (2024).,included in repository with project clearance,
Charter voor verantwoord gebruik van ai in overheidsdiensten_0,Charter for Responsible Use of AI in Public Services,Charter for Responsible Use of AI in Public Services,,,,,,,Wider supporting literature,corpus PDF,Charter voor verantwoord gebruik van ai in overheidsdiensten_0.pdf,8,True,6,0.54,Charter for Responsible Use of AI in Public Services.,included in repository with project clearance,
Correa_etal2023,Correa et al. (2023),Correa et al. (2023),2023,Nicholas Kluge Corrêa,,,10.1016/j.patter.2023.100857,https://doi.org/10.1016/j.patter.2023.100857,Wider supporting literature,corpus PDF,Correa_etal2023.pdf,15,True,36,0.85,Nicholas Kluge Corrêa (2023). Correa et al. (2023). https://doi.org/10.1016/j.patter.2023.100857.,included in repository with project clearance,
D1.1 Local awareness  criteria,EMERGE D1.1,D1.1 Local Awareness Criteria,2023,renan,,,,,Core EMERGE deliverable,corpus PDF,D1.1 Local awareness  criteria.pdf,26,True,35,0.69,renan (2023). D1.1 Local Awareness Criteria.,included in repository with project clearance,
D1.2 Demarcating collaborative awareness from related concepts,EMERGE D1.2,D1.2 Demarcating Collaborative Awareness from Related Concepts,2024,Renan Picoreti,,,,,Core EMERGE deliverable,corpus PDF,D1.2 Demarcating collaborative awareness from related concepts.pdf,30,True,43,0.69,Renan Picoreti (2024). D1.2 Demarcating Collaborative Awareness from Related Concepts.,included in repository with project clearance,
D1.3 Dimensions of collaborative awareness,EMERGE D1.3,D1.3 Dimensions of Collaborative Awareness,2024,Renan Picoreti,,,,,Core EMERGE deliverable,corpus PDF,D1.3 Dimensions of collaborative awareness.pdf,42,True,62,0.69,Renan Picoreti (2024). D1.3 Dimensions of Collaborative Awareness.,included in repository with project clearance,
D2.2 Map of risks in AI- systems,EMERGE D2.2,D2.2 Map of Risks in AI Systems,2023,Renan Picoreti,,,,,Core EMERGE deliverable,corpus PDF,D2.2 Map of risks in AI- systems.pdf,29,True,42,0.69,Renan Picoreti (2023). D2.2 Map of Risks in AI Systems.,included in repository with project clearance,
D2.3 Map of risks and potentials for humans,EMERGE D2.3,D2.3 Map of Risks and Potentials for Humans,2024,Renan Picoreti,,,,,Core EMERGE deliverable,corpus PDF,D2.3 Map of risks and potentials for humans.pdf,29,True,39,0.69,Renan Picoreti (2024). D2.3 Map of Risks and Potentials for Humans.,included in repository with project clearance,
D2.4 Map of Ethical Virtues,EMERGE D2.4,D2.4 Map of Ethical Virtues,2025,,,,,,Core EMERGE deliverable,corpus PDF,D2.4 Map of Ethical Virtues.pdf,55,True,68,0.62,EMERGE D2.4 (2025). D2.4 Map of Ethical Virtues.,included in repository with project clearance,
D2.5_Ethical_Resilience,EMERGE D2.5,D2.5 Ethical Resilience,2025,Renan Picoreti,,,,,Core EMERGE deliverable,corpus PDF,D2.5_Ethical_Resilience.pdf,23,True,26,0.69,Renan Picoreti (2025). D2.5 Ethical Resilience.,included in repository with project clearance,
Danaher and Nyholm - 2025 - The ethics of personalised digital duplicates a minimally viable permissibility principle,Danaher and Nyholm (2025),The Ethics of Personalised Digital Duplicates: A Minimally Viable Permissibility Principle,2025,,,,10.1007/s43681-024-00513-7,https://doi.org/10.1007/s43681-024-00513-7,Adjacent literature,corpus PDF,Danaher and Nyholm - 2025 - The ethics of personalised digital duplicates a minimally viable permissibility principle.pdf,16,True,46,0.77,Danaher and Nyholm (2025). The Ethics of Personalised Digital Duplicates: A Minimally Viable Permissibility Principle. https://doi.org/10.1007/s43681-024-00513-7.,included in repository with project clearance,
